Name,Region,Variety,Ratings,Notes
Miolo Special Reserve Merlot 2020,Vale dos Vinhedos (RS),Merlot,88,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Casa Valduga Special Reserve Cabernet Sauvignon 2021,Serra Gaúcha (RS),Cabernet Sauvignon,89,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Salton Special Reserve Cabernet Franc 2022,Campanha Gaúcha (RS),Cabernet Franc,90,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Aurora Special Reserve Tannat 2023,Pinto Bandeira (RS),Tannat,91,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Pizzato Special Reserve Syrah 2024,São Joaquim (SC),Syrah,92,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Guaspari Special Reserve Chardonnay 2020,Serra da Mantiqueira (MG),Chardonnay,93,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Cave Geisse Special Reserve Sauvignon Blanc 2021,Campos de Cima da Serra (RS),Sauvignon Blanc,94,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Luiz Argenta Special Reserve Pinot Noir 2022,Planalto Catarinense (SC),Pinot Noir,95,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Don Guerino Special Reserve Blend 2023,Serra da Canastra (MG),Blend,88,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Perini Special Reserve Sparkling Brut 2024,Jundiaí (SP),Sparkling Brut,89,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Garibaldi Special Reserve Sparkling Rosé 2020,Vale dos Vinhedos (RS),Sparkling Rosé,90,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Valmarino Special Reserve Muscat 2021,Serra Gaúcha (RS),Muscat,91,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Guatambu Special Reserve Merlot 2022,Campanha Gaúcha (RS),Merlot,92,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Lidio Carraro Special Reserve Cabernet Sauvignon 2023,Pinto Bandeira (RS),Cabernet Sauvignon,93,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Monte Agudo Special Reserve Cabernet Franc 2024,São Joaquim (SC),Cabernet Franc,94,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Casa Perini Special Reserve Tannat 2020,Serra da Mantiqueira (MG),Tannat,95,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Terragnolo Special Reserve Syrah 2021,Campos de Cima da Serra (RS),Syrah,88,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Zanotto Special Reserve Chardonnay 2022,Planalto Catarinense (SC),Chardonnay,89,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Campos de Cima Special Reserve Sauvignon Blanc 2023,Serra da Canastra (MG),Sauvignon Blanc,90,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Villa Francioni Special Reserve Pinot Noir 2024,Jundiaí (SP),Pinot Noir,91,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Miolo Special Reserve Blend 2020,Vale dos Vinhedos (RS),Blend,92,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Casa Valduga Special Reserve Sparkling Brut 2021,Serra Gaúcha (RS),Sparkling Brut,93,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Salton Special Reserve Sparkling Rosé 2022,Campanha Gaúcha (RS),Sparkling Rosé,94,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Aurora Special Reserve Muscat 2023,Pinto Bandeira (RS),Muscat,95,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Pizzato Special Reserve Merlot 2024,São Joaquim (SC),Merlot,88,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Guaspari Special Reserve Cabernet Sauvignon 2020,Serra da Mantiqueira (MG),Cabernet Sauvignon,89,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Cave Geisse Special Reserve Cabernet Franc 2021,Campos de Cima da Serra (RS),Cabernet Franc,90,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Luiz Argenta Special Reserve Tannat 2022,Planalto Catarinense (SC),Tannat,91,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Don Guerino Special Reserve Syrah 2023,Serra da Canastra (MG),Syrah,92,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Perini Special Reserve Chardonnay 2024,Jundiaí (SP),Chardonnay,93,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Garibaldi Special Reserve Sauvignon Blanc 2020,Vale dos Vinhedos (RS),Sauvignon Blanc,94,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Valmarino Special Reserve Pinot Noir 2021,Serra Gaúcha (RS),Pinot Noir,95,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Guatambu Special Reserve Blend 2022,Campanha Gaúcha (RS),Blend,88,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Lidio Carraro Special Reserve Sparkling Brut 2023,Pinto Bandeira (RS),Sparkling Brut,89,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Monte Agudo Special Reserve Sparkling Rosé 2024,São Joaquim (SC),Sparkling Rosé,90,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Casa Perini Special Reserve Muscat 2020,Serra da Mantiqueira (MG),Muscat,91,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Terragnolo Special Reserve Merlot 2021,Campos de Cima da Serra (RS),Merlot,92,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Zanotto Special Reserve Cabernet Sauvignon 2022,Planalto Catarinense (SC),Cabernet Sauvignon,93,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Campos de Cima Special Reserve Cabernet Franc 2023,Serra da Canastra (MG),Cabernet Franc,94,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Villa Francioni Special Reserve Tannat 2024,Jundiaí (SP),Tannat,95,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Miolo Special Reserve Syrah 2020,Vale dos Vinhedos (RS),Syrah,88,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Casa Valduga Special Reserve Chardonnay 2021,Serra Gaúcha (RS),Chardonnay,89,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Salton Special Reserve Sauvignon Blanc 2022,Campanha Gaúcha (RS),Sauvignon Blanc,90,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Aurora Special Reserve Pinot Noir 2023,Pinto Bandeira (RS),Pinot Noir,91,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Pizzato Special Reserve Blend 2024,São Joaquim (SC),Blend,92,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Guaspari Special Reserve Sparkling Brut 2020,Serra da Mantiqueira (MG),Sparkling Brut,93,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Cave Geisse Special Reserve Sparkling Rosé 2021,Campos de Cima da Serra (RS),Sparkling Rosé,94,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Luiz Argenta Special Reserve Muscat 2022,Planalto Catarinense (SC),Muscat,95,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Don Guerino Special Reserve Merlot 2023,Serra da Canastra (MG),Merlot,88,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Perini Special Reserve Cabernet Sauvignon 2024,Jundiaí (SP),Cabernet Sauvignon,89,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Garibaldi Special Reserve Cabernet Franc 2020,Vale dos Vinhedos (RS),Cabernet Franc,90,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Valmarino Special Reserve Tannat 2021,Serra Gaúcha (RS),Tannat,91,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Guatambu Special Reserve Syrah 2022,Campanha Gaúcha (RS),Syrah,92,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Lidio Carraro Special Reserve Chardonnay 2023,Pinto Bandeira (RS),Chardonnay,93,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Monte Agudo Special Reserve Sauvignon Blanc 2024,São Joaquim (SC),Sauvignon Blanc,94,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Casa Perini Special Reserve Pinot Noir 2020,Serra da Mantiqueira (MG),Pinot Noir,95,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Terragnolo Special Reserve Blend 2021,Campos de Cima da Serra (RS),Blend,88,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Zanotto Special Reserve Sparkling Brut 2022,Planalto Catarinense (SC),Sparkling Brut,89,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Campos de Cima Special Reserve Sparkling Rosé 2023,Serra da Canastra (MG),Sparkling Rosé,90,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Villa Francioni Special Reserve Muscat 2024,Jundiaí (SP),Muscat,91,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Miolo Special Reserve Merlot 2020,Vale dos Vinhedos (RS),Merlot,92,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Casa Valduga Special Reserve Cabernet Sauvignon 2021,Serra Gaúcha (RS),Cabernet Sauvignon,93,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Salton Special Reserve Cabernet Franc 2022,Campanha Gaúcha (RS),Cabernet Franc,94,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Aurora Special Reserve Tannat 2023,Pinto Bandeira (RS),Tannat,95,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Pizzato Special Reserve Syrah 2024,São Joaquim (SC),Syrah,88,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Guaspari Special Reserve Chardonnay 2020,Serra da Mantiqueira (MG),Chardonnay,89,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Cave Geisse Special Reserve Sauvignon Blanc 2021,Campos de Cima da Serra (RS),Sauvignon Blanc,90,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Luiz Argenta Special Reserve Pinot Noir 2022,Planalto Catarinense (SC),Pinot Noir,91,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Don Guerino Special Reserve Blend 2023,Serra da Canastra (MG),Blend,92,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Perini Special Reserve Sparkling Brut 2024,Jundiaí (SP),Sparkling Brut,93,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Garibaldi Special Reserve Sparkling Rosé 2020,Vale dos Vinhedos (RS),Sparkling Rosé,94,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Valmarino Special Reserve Muscat 2021,Serra Gaúcha (RS),Muscat,95,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Guatambu Special Reserve Merlot 2022,Campanha Gaúcha (RS),Merlot,88,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Lidio Carraro Special Reserve Cabernet Sauvignon 2023,Pinto Bandeira (RS),Cabernet Sauvignon,89,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Monte Agudo Special Reserve Cabernet Franc 2024,São Joaquim (SC),Cabernet Franc,90,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Casa Perini Special Reserve Tannat 2020,Serra da Mantiqueira (MG),Tannat,91,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Terragnolo Special Reserve Syrah 2021,Campos de Cima da Serra (RS),Syrah,92,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Zanotto Special Reserve Chardonnay 2022,Planalto Catarinense (SC),Chardonnay,93,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Campos de Cima Special Reserve Sauvignon Blanc 2023,Serra da Canastra (MG),Sauvignon Blanc,94,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Villa Francioni Special Reserve Pinot Noir 2024,Jundiaí (SP),Pinot Noir,95,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Miolo Special Reserve Blend 2020,Vale dos Vinhedos (RS),Blend,88,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Casa Valduga Special Reserve Sparkling Brut 2021,Serra Gaúcha (RS),Sparkling Brut,89,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Salton Special Reserve Sparkling Rosé 2022,Campanha Gaúcha (RS),Sparkling Rosé,90,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Aurora Special Reserve Muscat 2023,Pinto Bandeira (RS),Muscat,91,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Pizzato Special Reserve Merlot 2024,São Joaquim (SC),Merlot,92,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Guaspari Special Reserve Cabernet Sauvignon 2020,Serra da Mantiqueira (MG),Cabernet Sauvignon,93,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Cave Geisse Special Reserve Cabernet Franc 2021,Campos de Cima da Serra (RS),Cabernet Franc,94,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Luiz Argenta Special Reserve Tannat 2022,Planalto Catarinense (SC),Tannat,95,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Don Guerino Special Reserve Syrah 2023,Serra da Canastra (MG),Syrah,88,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Perini Special Reserve Chardonnay 2024,Jundiaí (SP),Chardonnay,89,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Garibaldi Special Reserve Sauvignon Blanc 2020,Vale dos Vinhedos (RS),Sauvignon Blanc,90,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Valmarino Special Reserve Pinot Noir 2021,Serra Gaúcha (RS),Pinot Noir,91,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Guatambu Special Reserve Blend 2022,Campanha Gaúcha (RS),Blend,92,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Lidio Carraro Special Reserve Sparkling Brut 2023,Pinto Bandeira (RS),Sparkling Brut,93,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Monte Agudo Special Reserve Sparkling Rosé 2024,São Joaquim (SC),Sparkling Rosé,94,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Casa Perini Special Reserve Muscat 2020,Serra da Mantiqueira (MG),Muscat,95,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Terragnolo Special Reserve Merlot 2021,Campos de Cima da Serra (RS),Merlot,88,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Zanotto Special Reserve Cabernet Sauvignon 2022,Planalto Catarinense (SC),Cabernet Sauvignon,89,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Campos de Cima Special Reserve Cabernet Franc 2023,Serra da Canastra (MG),Cabernet Franc,90,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Villa Francioni Special Reserve Tannat 2024,Jundiaí (SP),Tannat,91,Award-winning Brazilian wine; strong regional typicity and balanced structure.
